,nsf_proposal_links_v1,skills
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"{'engineering', 'higher education', 'science engineering', 'economic development', 'professional development', 'material', 'industry', 'development'}"
1,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"{'engineering', 'science engineering', 'chemical', 'environmental engineering'}"
2,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"{'theoretical foundation', 'computer science'}"
3,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"{'economic impact', 'learning', 'security', 'artificial intelligence', 'continued advancement', 'machine learning', 'ai', 'industry', 'development'}"
4,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"{'engineering', 'project develop', 'computer information', 'science engineering', 'information science', 'communication'}"
5,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,"{'engineering', 'control', 'science foundation', 'processing', 'novel design', 'biomaterials', 'discovery', 'material unique', 'physic', 'national science', 'design synthesis', 'united state', 'synthesis characterization', 'polymer', 'synthesis', 'material', 'property', 'industry', 'lead new', 'fundamental understanding', 'development'}"
6,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,"{'engineering', 'control', 'processing', 'novel design', 'discovery', 'material unique', 'solid state', 'design synthesis', 'chemistry', 'united state', 'synthesis characterization', 'synthesis', 'material', 'property', 'industry', 'lead new', 'fundamental understanding', 'development', 'electronic photonic'}"
7,https://www.nsf.gov/pubs/2020/nsf20586/nsf20586.htm,"{'chemical', 'chemistry'}"
8,https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm,"{'engineering', 'computer science', 'science engineering', 'information science', 'experience new', 'science foundation', 'area', 'national science', 'computer information', 'directorate engineering', 'revolve around', 'material', 'industry', 'science technology'}"
9,https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,"{'material state', 'broad spectrum', 'material', 'fundamental understanding', 'development', 'learning', 'modeling', 'material soft', 'molecular dynamic', 'material system', 'area', 'physic', 'national science', 'statistical mechanic', 'soft matter', 'soft material', 'solid state', 'chemistry', 'method used', 'dynamic', 'polymeric material', 'science foundation', 'biomaterials', 'machine learning', 'polymer', 'property', 'electronic photonic'}"
10,https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm,"{'catalysis', 'imaging', 'chemical', 'chemistry', 'computational method', 'synthesis', 'dynamic'}"
11,https://www.nsf.gov/pubs/2020/nsf20575/nsf20575.htm,"{'biomedical', 'support interface', 'science foundation', 'health', 'biomedical science', 'national science', 'national institute', 'statistic'}"
12,https://www.nsf.gov/pubs/2020/nsf20574/nsf20574.htm,"{'communication', 'chemical'}"
13,https://www.nsf.gov/pubs/2020/nsf20566/nsf20566.htm,"{'support system', 'learning', 'security', 'algorithm', 'decision support', 'health', 'artificial intelligence', 'machine learning', 'ai', 'ha long', 'ai system'}"
14,https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm,{'synthesis'}
15,https://www.nsf.gov/pubs/2020/nsf20563/nsf20563.htm,"{'range application', 'learning', 'security', 'energy', 'civil', 'artificial intelligence', 'personalized medicine', 'machine learning', 'automation'}"
16,https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm,"{'engineering', 'energy transport', 'energy', 'modeling', 'science engineering', 'including limited', 'chemical', 'synthesis', 'biological process', 'experimental theoretical'}"
17,https://www.nsf.gov/pubs/2020/nsf20557/nsf20557.htm,"{'application including', 'internet thing', 'system application', 'thing iot', 'high speed', 'communication', 'wireless communication'}"
18,https://www.nsf.gov/pubs/2020/nsf20553/nsf20553.htm,"{'engineering', 'including engineering', 'development'}"
19,https://www.nsf.gov/pubs/2020/nsf20552/nsf20552.htm,"{'chemical', 'production', 'logistics', 'material', 'business', 'machine design'}"
20,https://www.nsf.gov/pubs/2020/nsf20544/nsf20544.htm,"{'engineering', 'science foundation', 'computer information', 'science engineering', 'information science', 'national science'}"
