Proposal Link,Identified Skills
https://www.nsf.gov/pubs/2019/nsf19528/nsf19528.htm,chemical; dynamic
https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm,chemical; combustion; dynamic; engineering; fluid dynamic; foundation nsf; national science; science foundation; thermal transport; transport phenomenon; transport process
https://www.nsf.gov/pubs/2019/nsf19520/nsf19520.htm,development; mm; national science; production; science foundation; statistic
https://www.nsf.gov/pubs/2019/nsf19516/nsf19516.htm,advanced material; coordination activity; development; discovery; engineering; material; material science; national science; property; science engineering; science foundation; system design
https://www.nsf.gov/pubs/2019/nsf19511/nsf19511.htm,area; area future; engineering; foundation nsf; national science; program director; science engineering; science foundation
https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm,chemical; civil; engineering; foundation nsf; mechanobiology; national science; science foundation; tissue engineering
https://www.nsf.gov/pubs/2019/nsf19505/nsf19505.htm,national science; science foundation; year
https://www.nsf.gov/pubs/2018/nsf18598/nsf18598.htm,big data; computer information; engineering; industry; information science; science engineering; united state
https://www.nsf.gov/pubs/2018/nsf18596/nsf18596.htm,area; computer information; engineering; information science; learning; machine learning; modeling; science engineering; synthesis; system application; year
https://www.nsf.gov/pubs/2018/nsf18595/nsf18595.htm,multidisciplinary approach
https://www.nsf.gov/pubs/2018/nsf18591/nsf18591.htm,computer science; theoretical foundation
https://www.nsf.gov/pubs/2018/nsf18585/nsf18585.htm,national science; science foundation
https://www.nsf.gov/pubs/2018/nsf18572/nsf18572.htm,cyber system; engineering; problem involving; security
https://www.nsf.gov/pubs/2018/nsf18571/nsf18571.htm,development; engineering; higher education; industry; material; professional development; science engineering
https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm,intelligent system; project develop
https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm,development; development novel
https://www.nsf.gov/pubs/2018/nsf18567/nsf18567.htm,area; computational data; development; discovery; engineering; engineering education; science engineering; security; service; translational
https://www.nsf.gov/pubs/2018/nsf18566/nsf18566.htm,biomedical; biomedical science; foundation nsf; health; national institute; national science; nih; science foundation; statistic; support interface
https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm,broad range; physic
https://www.nsf.gov/pubs/2018/nsf18561/nsf18561.htm,catalysis; chemical; chemistry; computational method; dynamic; imaging; synthesis
https://www.nsf.gov/pubs/2018/nsf18557/nsf18557.htm,actuation; communication; perception; smart grid
https://www.nsf.gov/pubs/2018/nsf18556/nsf18556.htm,computer information; computer science; directorate engineering; engineering; engineering division; foundation nsf; graduate student; health; information science; material; national science; principal investigator; science engineering; science foundation; system directorate
https://www.nsf.gov/pubs/2018/nsf18541/nsf18541.htm,aging; area; biomedical; computer information; development; engineering; foundation nsf; health; information science; modeling; national institute; national science; nih; process modeling; public health; science engineering; science foundation; security
https://www.nsf.gov/pubs/2018/nsf18538/nsf18538.htm,artificial intelligence; civil; energy; national science; personalized medicine; range application; science foundation; security
https://www.nsf.gov/pubs/2018/nsf18537/nsf18537.htm,computer science; development; foundation nsf; material; national science; professional development; science foundation; teaching
https://www.nsf.gov/pubs/2018/nsf18536/nsf18536.htm,area; computer information; engineering; information science; learning; machine learning; modeling; science engineering; synthesis; system application; year
https://www.nsf.gov/pubs/2018/nsf18528/nsf18528.htm,computer information; engineering; information science; science engineering
https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm,chemical
https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm,chemical; dynamic; engineering; fluid dynamic; foundation nsf; national science; science foundation
https://www.nsf.gov/pubs/2018/nsf18518/nsf18518.htm,development; national science; robotics; science foundation; united state
https://www.nsf.gov/pubs/2018/nsf18517/nsf18517.htm,area; product
https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm,chemical; engineering; foundation nsf; national science; science foundation; tissue engineering
https://www.nsf.gov/pubs/2018/nsf18502/nsf18502.htm,development; foundation nsf; higher education; industry; national science; program level; science foundation
https://www.nsf.gov/pubs/2018/nsf18501/nsf18501.htm,computer science; theoretical foundation
https://www.nsf.gov/pubs/2018/nsf18500/nsf18500.htm,area; biomaterials; broad spectrum; chemistry; development; dynamic; electronic photonic; fundamental understanding; learning; machine learning; material; material soft; material state; material system; method used; modeling; molecular dynamic; physic; polymer; polymeric material; property; soft material; soft matter; solid state; statistical mechanic
https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm,computer information; directorate engineering; energy; engineering; information science; national science; science engineering; science foundation; security; service
https://www.nsf.gov/pubs/2017/nsf17600/nsf17600.htm,year
https://www.nsf.gov/pubs/2017/nsf17589/nsf17589.htm,general
https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm,control; design synthesis; development; discovery; engineering; fundamental understanding; industry; lead new; material; material unique; novel design; processing; property; synthesis; synthesis characterization; united state
https://www.nsf.gov/pubs/2017/nsf17578/nsf17578.htm,area; directorate engineering; engineering
https://www.nsf.gov/pubs/2017/nsf17576/nsf17576.htm,cyber system; engineering; problem involving; security
https://www.nsf.gov/pubs/2017/nsf17575/nsf17575.htm,area; computer information; computer science; directorate engineering; engineering; experience new; graduate student; information science; revolve around; science engineering; science technology
https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm,intelligent system; project develop
https://www.nsf.gov/pubs/2017/nsf17569/nsf17569.htm,biomedical; biomedical science; foundation nsf; health; national institute; national science; nih; science foundation; statistic; support interface
https://www.nsf.gov/pubs/2017/nsf17568/nsf17568.htm,development; engineering; industry; material; national science; professional development; science engineering; science foundation
https://www.nsf.gov/pubs/2017/nsf17554/nsf17554.htm,composition; experimental study; material; physic; property; theoretical experimental; wave propagation
https://www.nsf.gov/pubs/2017/nsf17553/nsf17553.htm,discovery; national science; science foundation; statistic; united state
https://www.nsf.gov/pubs/2017/nsf17548/nsf17548.htm,information processing; physic; processing; quantum computing
https://www.nsf.gov/pubs/2017/nsf17541/nsf17541.htm,computer science; engineering; including engineering; national science; science foundation; science technology; teaching; track
https://www.nsf.gov/pubs/2017/nsf17532/nsf17532.htm,area; creating new; engineering; engineering activity; science engineering
https://www.nsf.gov/pubs/2017/nsf17530/nsf17530.htm,energy
https://www.nsf.gov/pubs/2017/nsf17525/nsf17525.htm,computer science; development; foundation nsf; material; national science; professional development; science foundation; teaching
https://www.nsf.gov/pubs/2017/nsf17519/nsf17519.htm,area; broad spectrum; engineering; multidisciplinary approach; science engineering
https://www.nsf.gov/pubs/2017/nsf17518/nsf17518.htm,development; robotics; united state
https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm,chemical; combustion; engineering; foundation nsf; national science; science foundation; thermal transport; transport process
https://www.nsf.gov/pubs/2017/nsf17504/nsf17504.htm,area; earth science
https://www.nsf.gov/pubs/2017/nsf17503/nsf17503.htm,development; foundation nsf; higher education; industry; national science; program level; science foundation
https://www.nsf.gov/pubs/2016/nsf16616/nsf16616.htm,computer information; directorate engineering; energy; engineering; information science; national science; science engineering; science foundation; security; service
https://www.nsf.gov/pubs/2016/nsf16613/nsf16613.htm,advanced material; coordination activity; development; discovery; engineering; material; material science; property; science engineering; system design
https://www.nsf.gov/pubs/2016/nsf16611/nsf16611.htm,area; development; earth science; efficient operation; national science; protocol development; science foundation
https://www.nsf.gov/pubs/2016/nsf16608/nsf16608.htm,actuation; communication
https://www.nsf.gov/pubs/2016/nsf16607/nsf16607.htm,computer science; theoretical foundation
https://www.nsf.gov/pubs/2016/nsf16605/nsf16605.htm,year
https://www.nsf.gov/pubs/2016/nsf16604/nsf16604.htm,area; foundation nsf; industry; industry future; nanotechnology; national science; science foundation; year
https://www.nsf.gov/pubs/2016/nsf16603/nsf16603.htm,algorithm; area; artificial intelligence; computational model; computer architecture; computer science; computing information; data analytics; design analysis; including limited; learning; machine learning; programming language
https://www.nsf.gov/pubs/2016/nsf16601/nsf16601.htm,area; clinical practice; decision support; development; foundation nsf; health; health care; learning; machine learning; modeling; national institute; national science; nih; process modeling; science foundation; support system
https://www.nsf.gov/pubs/2016/nsf16598/nsf16598.htm,composition; experimental study; material; physic; property; theoretical experimental; wave propagation
https://www.nsf.gov/pubs/2016/nsf16597/nsf16597.htm,composite; development; development new; discovery; fundamental understanding; material; mechanism associated; national science; nucleation; objective program; processing; property; science foundation; synthesis; thin film
https://www.nsf.gov/pubs/2016/nsf16596/nsf16596.htm,area; biomaterials; broad spectrum; chemistry; development; dynamic; electronic photonic; fundamental understanding; material; material soft; material state; modeling; molecular dynamic; physic; polymer; polymeric material; property; soft material; soft matter; solid state; statistical mechanic; well predictive
https://www.nsf.gov/pubs/2016/nsf16591/nsf16591.htm,composition; industry; service; test bed
https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm,intelligent system; national science; project develop; science foundation
https://www.nsf.gov/pubs/2016/nsf16580/nsf16580.htm,cyber system; engineering; problem involving; security
https://www.nsf.gov/pubs/2016/nsf16573/nsf16573.htm,big data; biomedical
https://www.nsf.gov/pubs/2016/nsf16569/nsf16569.htm,development; experimental theoretical; instrumentation technique; theoretical framework
https://www.nsf.gov/pubs/2016/nsf16564/nsf16564.htm,applied mathematics; engineering; material; material science; physic; plasma; property; science engineering
https://www.nsf.gov/pubs/2016/nsf16559/nsf16559.htm,engineering; national science; science foundation; science technology; teaching; track
https://www.nsf.gov/pubs/2016/nsf16543/nsf16543.htm,biomedical; biomedical science; health; national institute; national science; science foundation; statistic; support interface
https://www.nsf.gov/pubs/2016/nsf16537/nsf16537.htm,computer information; engineering; information science; national science; science engineering; science foundation; service
https://www.nsf.gov/pubs/2016/nsf16535/nsf16535.htm,computing information
https://www.nsf.gov/pubs/2016/nsf16532/nsf16532.htm,development; discovery; engineering; national science; science engineering; science foundation
