,nsf_proposal_links_v0,skills
33,https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm,"{'foundation nsf', 'engineering', 'civil', 'national science', 'mechanobiology', 'science foundation', 'tissue engineering', 'chemical'}"
34,https://www.nsf.gov/pubs/2019/nsf19614/nsf19614.htm,"{'engineering material', 'engineering education', 'engineering department', 'capstone design', 'first year', 'engineering', 'professional engineer', 'material', 'learning', 'professional practice', 'year'}"
35,https://www.nsf.gov/pubs/2019/nsf19613/nsf19613.htm,"{'system application', 'embedded system', 'engineering', 'computer information', 'science engineering', 'machine learning', 'modeling', 'synthesis', 'area', 'learning', 'information science', 'year'}"
36,https://www.nsf.gov/pubs/2019/nsf19599/nsf19599.htm,"{'area', 'engineering', 'directorate engineering'}"
37,https://www.nsf.gov/pubs/2019/nsf19596/nsf19596.htm,"{'property', 'physic', 'engineering', 'material science', 'applied mathematics', 'science engineering', 'material', 'plasma'}"
38,https://www.nsf.gov/pubs/2019/nsf19589/nsf19589.htm,"{'science engineering', 'project develop', 'engineering', 'information science', 'communication', 'computer information'}"
39,https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm,"{'imaging', 'computational method', 'catalysis', 'chemistry', 'dynamic', 'synthesis', 'chemical'}"
40,https://www.nsf.gov/pubs/2019/nsf19575/nsf19575.htm,"{'mm', 'statistic', 'development'}"
41,https://www.nsf.gov/pubs/2019/nsf19572/nsf19572.htm,"{'engineering', 'security', 'cyber system', 'problem involving'}"
42,https://www.nsf.gov/pubs/2019/nsf19571/nsf19571.htm,"{'ha long', 'health', 'national science', 'science foundation', 'security', 'ai system', 'machine learning', 'learning', 'ai', 'artificial intelligence'}"
43,https://www.nsf.gov/pubs/2019/nsf19553/nsf19553.htm,"{'personalized medicine', 'civil', 'energy', 'security', 'range application', 'artificial intelligence'}"
44,https://www.nsf.gov/pubs/2019/nsf19536/nsf19536.htm,"{'national science', 'united state', 'development', 'science foundation', 'robotics'}"
45,https://www.nsf.gov/pubs/2019/nsf19532/nsf19532.htm,"{'foundation nsf', 'engineering', 'program director', 'national science', 'science foundation', 'science engineering', 'area future', 'area'}"
46,https://www.nsf.gov/pubs/2019/nsf19529/nsf19529.htm,"{'engineering', 'national science', 'directorate engineering', 'computer information', 'energy', 'science foundation', 'science engineering', 'service', 'security', 'information science'}"
47,https://www.nsf.gov/pubs/2019/nsf19528/nsf19528.htm,"{'dynamic', 'chemical'}"
48,https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm,"{'thermal transport', 'transport process', 'foundation nsf', 'engineering', 'national science', 'science foundation', 'combustion', 'transport phenomenon', 'fluid dynamic', 'dynamic', 'chemical'}"
49,https://www.nsf.gov/pubs/2019/nsf19520/nsf19520.htm,"{'statistic', 'national science', 'development', 'science foundation', 'mm', 'production'}"
50,https://www.nsf.gov/pubs/2019/nsf19516/nsf19516.htm,"{'property', 'system design', 'engineering', 'material science', 'national science', 'development', 'coordination activity', 'science foundation', 'science engineering', 'material', 'advanced material', 'discovery'}"
51,https://www.nsf.gov/pubs/2019/nsf19511/nsf19511.htm,"{'foundation nsf', 'engineering', 'program director', 'national science', 'science foundation', 'science engineering', 'area future', 'area'}"
52,https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm,"{'foundation nsf', 'engineering', 'civil', 'national science', 'mechanobiology', 'science foundation', 'tissue engineering', 'chemical'}"
53,https://www.nsf.gov/pubs/2019/nsf19505/nsf19505.htm,"{'national science', 'science foundation', 'year'}"
54,https://www.nsf.gov/pubs/2018/nsf18598/nsf18598.htm,"{'industry', 'big data', 'engineering', 'united state', 'computer information', 'science engineering', 'information science'}"
55,https://www.nsf.gov/pubs/2018/nsf18596/nsf18596.htm,"{'system application', 'engineering', 'computer information', 'science engineering', 'machine learning', 'modeling', 'synthesis', 'area', 'learning', 'information science', 'year'}"
56,https://www.nsf.gov/pubs/2018/nsf18595/nsf18595.htm,{'multidisciplinary approach'}
57,https://www.nsf.gov/pubs/2018/nsf18591/nsf18591.htm,"{'theoretical foundation', 'computer science'}"
58,https://www.nsf.gov/pubs/2018/nsf18585/nsf18585.htm,"{'national science', 'science foundation'}"
59,https://www.nsf.gov/pubs/2018/nsf18572/nsf18572.htm,"{'engineering', 'security', 'cyber system', 'problem involving'}"
60,https://www.nsf.gov/pubs/2018/nsf18571/nsf18571.htm,"{'industry', 'higher education', 'engineering', 'professional development', 'development', 'science engineering', 'material'}"
61,https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm,"{'project develop', 'intelligent system'}"
62,https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm,"{'development novel', 'development'}"
63,https://www.nsf.gov/pubs/2018/nsf18567/nsf18567.htm,"{'engineering education', 'engineering', 'development', 'science engineering', 'service', 'security', 'area', 'translational', 'discovery', 'computational data'}"
64,https://www.nsf.gov/pubs/2018/nsf18566/nsf18566.htm,"{'support interface', 'statistic', 'foundation nsf', 'biomedical', 'health', 'national science', 'science foundation', 'biomedical science', 'national institute', 'nih'}"
65,https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm,"{'broad range', 'physic'}"
66,https://www.nsf.gov/pubs/2018/nsf18561/nsf18561.htm,"{'imaging', 'computational method', 'catalysis', 'chemistry', 'dynamic', 'synthesis', 'chemical'}"
67,https://www.nsf.gov/pubs/2018/nsf18557/nsf18557.htm,"{'perception', 'communication', 'actuation', 'smart grid'}"
68,https://www.nsf.gov/pubs/2018/nsf18556/nsf18556.htm,"{'system directorate', 'graduate student', 'principal investigator', 'foundation nsf', 'engineering', 'health', 'national science', 'computer information', 'directorate engineering', 'science foundation', 'science engineering', 'engineering division', 'material', 'information science', 'computer science'}"
69,https://www.nsf.gov/pubs/2018/nsf18541/nsf18541.htm,"{'public health', 'process modeling', 'foundation nsf', 'biomedical', 'engineering', 'health', 'national science', 'development', 'computer information', 'science foundation', 'science engineering', 'national institute', 'security', 'modeling', 'area', 'aging', 'nih', 'information science'}"
70,https://www.nsf.gov/pubs/2018/nsf18538/nsf18538.htm,"{'personalized medicine', 'civil', 'national science', 'energy', 'science foundation', 'security', 'range application', 'artificial intelligence'}"
71,https://www.nsf.gov/pubs/2018/nsf18537/nsf18537.htm,"{'foundation nsf', 'professional development', 'national science', 'development', 'science foundation', 'material', 'teaching', 'computer science'}"
72,https://www.nsf.gov/pubs/2018/nsf18536/nsf18536.htm,"{'system application', 'engineering', 'computer information', 'science engineering', 'machine learning', 'modeling', 'synthesis', 'area', 'learning', 'information science', 'year'}"
73,https://www.nsf.gov/pubs/2018/nsf18528/nsf18528.htm,"{'science engineering', 'engineering', 'information science', 'computer information'}"
74,https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm,{'chemical'}
75,https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm,"{'foundation nsf', 'engineering', 'national science', 'science foundation', 'fluid dynamic', 'dynamic', 'chemical'}"
76,https://www.nsf.gov/pubs/2018/nsf18518/nsf18518.htm,"{'national science', 'united state', 'development', 'science foundation', 'robotics'}"
77,https://www.nsf.gov/pubs/2018/nsf18517/nsf18517.htm,"{'product', 'area'}"
78,https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm,"{'foundation nsf', 'engineering', 'national science', 'science foundation', 'tissue engineering', 'chemical'}"
79,https://www.nsf.gov/pubs/2018/nsf18502/nsf18502.htm,"{'industry', 'higher education', 'foundation nsf', 'national science', 'development', 'science foundation', 'program level'}"
80,https://www.nsf.gov/pubs/2018/nsf18501/nsf18501.htm,"{'theoretical foundation', 'computer science'}"
81,https://www.nsf.gov/pubs/2018/nsf18500/nsf18500.htm,"{'electronic photonic', 'broad spectrum', 'polymer', 'molecular dynamic', 'material soft', 'material state', 'soft material', 'material', 'statistical mechanic', 'physic', 'biomaterials', 'polymeric material', 'dynamic', 'area', 'learning', 'material system', 'solid state', 'property', 'development', 'chemistry', 'fundamental understanding', 'soft matter', 'method used', 'machine learning', 'modeling'}"
82,https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm,"{'engineering', 'national science', 'directorate engineering', 'computer information', 'energy', 'science foundation', 'science engineering', 'service', 'security', 'information science'}"
83,https://www.nsf.gov/pubs/2017/nsf17600/nsf17600.htm,{'year'}
84,https://www.nsf.gov/pubs/2017/nsf17589/nsf17589.htm,{'general'}
85,https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm,"{'property', 'industry', 'design synthesis', 'engineering', 'novel design', 'united state', 'development', 'material unique', 'control', 'fundamental understanding', 'lead new', 'synthesis characterization', 'material', 'processing', 'synthesis', 'discovery'}"
86,https://www.nsf.gov/pubs/2017/nsf17578/nsf17578.htm,"{'area', 'engineering', 'directorate engineering'}"
87,https://www.nsf.gov/pubs/2017/nsf17576/nsf17576.htm,"{'engineering', 'security', 'cyber system', 'problem involving'}"
88,https://www.nsf.gov/pubs/2017/nsf17575/nsf17575.htm,"{'revolve around', 'graduate student', 'engineering', 'computer information', 'directorate engineering', 'science technology', 'science engineering', 'experience new', 'area', 'information science', 'computer science'}"
89,https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm,"{'project develop', 'intelligent system'}"
90,https://www.nsf.gov/pubs/2017/nsf17569/nsf17569.htm,"{'support interface', 'statistic', 'foundation nsf', 'biomedical', 'health', 'national science', 'science foundation', 'biomedical science', 'national institute', 'nih'}"
91,https://www.nsf.gov/pubs/2017/nsf17568/nsf17568.htm,"{'industry', 'engineering', 'professional development', 'national science', 'development', 'science foundation', 'science engineering', 'material'}"
92,https://www.nsf.gov/pubs/2017/nsf17554/nsf17554.htm,"{'property', 'physic', 'wave propagation', 'theoretical experimental', 'experimental study', 'composition', 'material'}"
93,https://www.nsf.gov/pubs/2017/nsf17553/nsf17553.htm,"{'statistic', 'national science', 'united state', 'science foundation', 'discovery'}"
94,https://www.nsf.gov/pubs/2017/nsf17548/nsf17548.htm,"{'processing', 'information processing', 'quantum computing', 'physic'}"
95,https://www.nsf.gov/pubs/2017/nsf17541/nsf17541.htm,"{'including engineering', 'engineering', 'track', 'national science', 'science technology', 'science foundation', 'teaching', 'computer science'}"
96,https://www.nsf.gov/pubs/2017/nsf17532/nsf17532.htm,"{'engineering', 'engineering activity', 'creating new', 'science engineering', 'area'}"
97,https://www.nsf.gov/pubs/2017/nsf17530/nsf17530.htm,{'energy'}
98,https://www.nsf.gov/pubs/2017/nsf17525/nsf17525.htm,"{'foundation nsf', 'professional development', 'national science', 'development', 'science foundation', 'material', 'teaching', 'computer science'}"
99,https://www.nsf.gov/pubs/2017/nsf17519/nsf17519.htm,"{'engineering', 'science engineering', 'multidisciplinary approach', 'area', 'broad spectrum'}"
